team,player,pos,gp,gs,min,pts,or,dr,reb,ast,stl,blk,to,pf,ast/to
MEM,Walter Clayton Jr.G,N/A,11,2,25.3,8.6,0.0,2.0,2.0,6.5,1.3,0.2,2.5,1.9,2.7
MEM,Javon Small,G,31,5,18.8,8.5,0.8,2.2,3.0,3.8,0.7,0.3,1.2,1.5,3.2
MEM,Kentavious Caldwell-Pope,G,51,14,21.3,8.4,0.4,2.1,2.5,2.7,0.8,0.2,1.2,1.1,2.3
MEM,Olivier-Maxence Prosper,F,41,12,17.2,8.2,1.1,2.3,3.4,1.0,0.6,0.3,0.9,1.3,1.1
UTAH,Vince Williams Jr.G,N/A,6,0,14.0,4.7,0.8,2.3,3.2,2.7,0.3,0.3,1.2,1.5,2.3
MEM,Lawson Lovering,C,2,1,24.5,7.0,3.0,4.5,7.5,1.5,1.5,0.5,1.0,3.5,1.5
MEM,Jahmai Mashack,G,22,3,18.1,5.1,0.7,1.3,2.0,1.3,1.2,0.5,1.0,2.1,1.3
MEM,Brandon Clarke,F,2,2,10.0,4.0,2.0,1.0,3.0,0.5,1.0,0.0,0.0,2.5,INF
PHI,Charles Bassey,N/A,1,0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
UTAH,John Konchar,N/A,13,4,24.0,2.9,1.5,2.7,4.2,2.0,2.2,0.8,0.7,1.8,2.9
MEM,Tyler Burton,F,1,0,29.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0
MIA,Norman Powell,G,49,49,30.0,22.5,0.4,3.2,3.6,2.6,1.2,0.2,2.0,2.1,1.3
MIA,Tyler Herro,G,20,15,30.6,22.1,0.6,4.0,4.6,3.7,0.8,0.4,1.9,1.8,1.9
MIA,Bam Adebayo,C,59,59,31.7,20.0,2.1,7.7,9.8,2.9,1.1,0.7,1.7,1.7,1.7
MIA,Andrew Wiggins,F,57,57,31.0,15.9,1.8,3.3,5.1,2.8,1.1,1.0,1.6,2.2,1.7
MIA,Jaime Jaquez Jr.,F,62,1,28.7,15.0,1.3,3.9,5.3,4.7,0.8,0.3,2.1,1.9,2.2
MIA,Kel'el Ware,C,62,30,22.6,11.3,3.1,6.3,9.4,0.5,0.9,1.1,0.9,1.6,0.6
MIA,Pelle Larsson,G,56,43,25.4,10.7,0.8,2.6,3.4,3.4,0.7,0.3,1.2,1.9,2.8
MIA,Davion Mitchell,G,56,56,28.3,8.9,0.4,2.3,2.7,6.7,1.1,0.2,1.5,2.7,4.4
MIA,Simone Fontecchio,F,60,5,16.9,8.4,0.8,2.3,3.1,1.5,0.5,0.2,0.8,1.5,1.9
MIA,Nikola Jovic,F,45,1,17.6,7.5,0.6,2.8,3.4,2.2,0.6,0.4,1.4,1.4,1.5
MIA,Kasparas Jakucionis,G,40,11,17.9,6.1,0.8,2.0,2.8,2.5,0.7,0.1,1.1,2.0,2.3
MIA,Dru Smith,G,64,1,17.1,5.9,0.9,1.7,2.6,2.7,1.5,0.3,0.8,1.6,3.1
MIA,Myron Gardner,F,35,7,9.8,3.9,1.0,2.1,3.1,1.0,0.5,0.1,0.3,1.7,3.3
MIA,Keshad Johnson,F,24,0,7.6,3.4,0.7,1.1,1.8,0.1,0.3,0.3,0.4,0.8,0.2
MIA,Jahmir Young,G,10,0,4.7,1.7,0.2,0.2,0.4,0.6,0.1,0.0,0.2,0.5,3.0
MIA,Vladislav Goldin,C,4,0,3.0,1.0,0.3,0.8,1.0,0.5,0.0,0.3,0.3,0.8,2.0
MIA,Trevor Keels,G,4,0,1.3,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
MIL,Giannis Antetokounmpo,F,35,35,29.0,27.5,2.6,7.0,9.7,5.4,1.0,0.7,3.3,2.4,1.6
MIL,Kevin Porter Jr.,G,36,34,33.3,17.2,0.9,4.3,5.2,7.3,2.3,0.4,2.9,2.3,2.5
MIL,Ryan Rollins,G,63,56,32.3,16.6,0.8,3.9,4.7,5.6,1.5,0.4,2.7,2.7,2.1
MIL,Bobby Portis,F,62,9,24.0,13.4,1.3,5.0,6.3,1.5,0.5,0.2,1.0,1.7,1.5
MIL,Kyle Kuzma,F,60,35,26.6,13.3,0.9,3.8,4.7,2.6,0.6,0.4,1.6,2.0,1.6
MIL,Myles Turner,C,61,61,27.5,12.2,1.1,4.3,5.4,1.5,0.7,1.6,1.2,2.5,1.3
MIL,AJ Green,G,61,58,29.2,9.7,0.3,2.2,2.5,1.9,0.5,0.1,0.8,2.4,2.3
MIL,Ousmane Dieng,N/A,15,7,22.3,8.2,0.7,3.3,3.9,2.3,0.7,0.4,1.1,1.7,2.1
MIL,Gary Trent Jr.,G,55,17,21.1,7.5,0.1,0.9,1.0,1.3,0.5,0.1,0.5,1.3,2.3
MIL,Cole Anthony,G,35,0,15.1,6.7,0.5,2.0,2.5,3.5,0.6,0.3,1.9,2.1,1.9
